ID,ZipCode,State,County,Region,RegionID,RegionName,Pop,Modified,Lat,Lon
18384,43940,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.0155,-80.74477
18385,43941,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.254001,-80.827419
18386,43942,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,2573,NULL,39.864251,-80.867006
18387,43943,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,4297,NULL,40.230304,-80.722871
18388,43944,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,2611,NULL,40.429816,-80.766963
18389,43945,OH,OH_Columbiana,OH_Columbiana,1105,OH_Columbiana,3357,NULL,40.610647,-80.838799
18390,43946,OH,OH_Monroe,OH_Monroe,2447,OH_Monroe,2169,NULL,39.660911,-80.964482
18391,43947,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,5046,NULL,39.952218,-80.787718
18392,43948,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.270644,-80.781083
18393,43950,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,16227,NULL,40.093415,-80.9183
18394,43951,OH,OH_Belmont,OH_Belmont,667,OH_Belmont,-99,NULL,40.111262,-81.017191
18395,43952,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,19087,NULL,40.399964,-80.662269
18396,43953,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,11371,NULL,40.340069,-80.723061
18397,43961,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.521534,-80.626883
18398,43962,OH,OH_Columbiana,OH_Columbiana,1105,OH_Columbiana,-99,NULL,40.679476,-80.886257
18399,43963,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,1236,NULL,40.173995,-80.694571
18400,43964,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,10535,NULL,40.4891,-80.672535
18401,43966,OH,OH_Jefferson,OH_Jefferson,1899,OH_Jefferson,-99,NULL,40.357514,-80.847306
